"CPAT Code","Year","CountryName","FuelType","ely","pow","rod","ral","avi","nav","res","foo","srv","mch","irn","nfm","mac","cem","omn","cst","ftr","oen","neu","wav"
"dza.mit.enc.bio",2019,"Algeria","bio",0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,6.9,0,0.9,0,NA,NA
"dza.mit.enc.bgs",2019,"Algeria","bgs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.bdi",2019,"Algeria","bdi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.obf",2019,"Algeria","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.heat",2019,"Algeria","heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.ele",2019,"Angola","ecy",0,0,0,0,0,0,747.2,0,0,0,0,0,0,0,380.6,0,164.7,0,NA,NA
"ago.mit.enc.coa",2019,"Angola","coa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.nga",2019,"Angola","nga",1478.7,286.2,0,0,0,0,0,0,0,0,0,0,0,0,355.9,0,1322.7,0,NA,NA
"ago.mit.enc.oop",2019,"Angola","oop",2941.8,887.5,0,0,0,0,0,0,0,0,0,0,0,0,68.3,20.1,188.6,0,NA,NA
"ago.mit.enc.gso",2019,"Angola","gso",0,0,653.2,0,0,0,0,0,42.4,0,0,0,0,0,4.5,5,0,5,NA,NA
"ago.mit.enc.die",2019,"Angola","die",0,395.1,1920.9,0,0,12.9,217.5,6.9,576.9,0,0,0,0,0,0,88.3,0,0,NA,NA
"ago.mit.enc.ker",2019,"Angola","ker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,NA,NA
"ago.mit.enc.lpg",2019,"Angola","lpg",0,0,0,0,0,0,349.2,0,19.5,0,0,0,0,0,5.1,0,0,0,NA,NA
"ago.mit.enc.jfu",2019,"Angola","jfu",0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.wnd",2019,"Angola","wnd",33.8,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.sol",2019,"Angola","sol",33.8,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.hyd",2019,"Angola","hyd",10660,916.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.ore",2019,"Angola","ore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.nuc",2019,"Angola","nuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.bio",2019,"Angola","bio",0,0,0,0,0,0,4769.5,0,0,0,0,0,0,0,113.7,0,1554.5,0,NA,NA
"ago.mit.enc.bgs",2019,"Angola","bgs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.bdi",2019,"Angola","bdi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.obf",2019,"Angola","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ago.mit.enc.heat",2019,"Angola","heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.ele",2019,"Argentina","ecy",0,0,0,45.3,0,0,3719.3,1185.4,2693.4,1043.7,511.3,426.9,217,400.8,601.7,0,1872,0,NA,NA
"arg.mit.enc.coa",2019,"Argentina","coa",1457.5,329.7,0,0,0,0,0,0,0,0,316.6,0,0,0,43.9,0,69.8,0,NA,NA
"arg.mit.enc.nga",2019,"Argentina","nga",91404.3,15100.8,2040.3,0,0,0,8515.6,1515.9,1242.2,473.7,817.4,209.2,57.3,1132.5,2868.2,0,9524.8,0,NA,NA
"arg.mit.enc.oop",2019,"Argentina","oop",1977,515,0,0,0,67,0,93.7,48.3,0,0,0,0,0,471.2,0,225,0,NA,NA
"arg.mit.enc.gso",2019,"Argentina","gso",0,0,6227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.die",2019,"Argentina","die",1798.2,375.3,6500.9,0,0,241.3,0,3268.7,102.4,0,0,0,0,0,102.4,0,0,0,NA,NA
"arg.mit.enc.ker",2019,"Argentina","ker",0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.lpg",2019,"Argentina","lpg",0,0,0,0,0,0,1194.9,83.2,199.5,0,0,0,0,0,114.8,0,0,0,NA,NA
"arg.mit.enc.jfu",2019,"Argentina","jfu",0,0,0,0,622.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.wnd",2019,"Argentina","wnd",4669.5,401.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.sol",2019,"Argentina","sol",756.4,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.hyd",2019,"Argentina","hyd",27987.5,2406.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.ore",2019,"Argentina","ore",244.7,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.nuc",2019,"Argentina","nuc",8311.7,2166.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arg.mit.enc.bio",2019,"Argentina","bio",1374.4,724.9,1544.4,0,0,0,251.5,0,152.6,0,0,0,0,0,1015,0,154.6,0,NA,NA
"arg.mit.enc.bgs",2019,"Argentina","bgs",0,0,541.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,NA,NA
"arg.mit.enc.bdi",2019,"Argentina","bdi",0,0,1011.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6,0,NA,NA
"arg.mit.enc.obf",2019,"Argentina","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
